code;group;age;sex;occup;occupdesc;sight;color;dioptre;sightprobs;comments;email;points;durations;sessions
AD0210;forcedguess;20;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1319;(2489, 1319);2
AD0906;forcedguess;25;f;student;Psychologie;corrected;n;(None,);(None,);"(u'',)";anonymous;1176;(3054,);1
AF0402;forcedguess;23;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'Ich hatte manchmal das Gef\xfchl, dass mir zwei Bilder zur Wahl standen, die ich beide noch nicht gesehen habe... ')";;1261;(2711, 1393);2
AG1503;normal;23;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'In der ersten mail, in der man sich f\xfcr den versuch melden konnte, wurde angeboten, dass eine ausf\xfchrliche Auswertung der pers\xf6nlichen Leistung vorzunehmen und mitzuteilen. Ist das noch m\xf6glich?')";anonymous;2875;(2579, 1493);2
AL2301;forcedguess;18;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";;1644;(3018, 1404);2
AM0107;forcedguess;21;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1213;(2536, 1315);2
AN0302;forcedguess;20;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'ich dachte, dass in den sp\xe4teren Erinnerungsphasen auch W\xf6rter aus vorherigen Lernphasen gezeigt wurden. Am Ende fand ich es zunehmend schwierig, sich zu konzentrieren.', u'beim zweiten Durchgang habe ich bemerkt, dass die Rechenaufgaben nicht m\xf6glichst schnell gel\xf6st werden m\xfcssen, deshalb habe ich mir mit den Aufgaben Zeit gelassen. Heute fiel es mir sehr schwer, mich an Bilder zu erinnern/sie wieder zu erkennen.')";anonymous;1782;(2629, 1336);2
AN0509;forcedguess;25;m;student;psychologie;normal;n;(None,);(None,);"(u'',)";;634;(2554,);1
AN2006;forcedguess;21;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1389;(3323, 1584);2
AS0103;normal;23;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;2174;(2630, 1479);2
AS1107;normal;25;m;student;Soziale Arbeit;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;2054;(2705, 1648);2
AS2106;forcedguess;21;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1884;(3027, 1527);2
AT0603;forcedguess;18;f;pupil;no description;uncorrected;n;(u'-1',);(1,);"(u'',)";anonymous;702;(2729,);1
ED0403;forcedguess;21;m;student;Psychologie HF;normal;n;(None, None);(None, None);"(u'', u'')";anonymous;1481;(2759, 1387);2
EG0605;forcedguess;20;f;student;psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";anonymous;1618;(2786, 1452);2
EH1512;forcedguess;34;f;student;Psychologie;corrected;n;(None, None);(None, None);"(u'', u'')";;1105;(2701, 1452);2
EL2304;forcedguess;21;f;student;Psychologie;normal;n;(None, None);(None, None);"(u'- Manchmal das Gef\xfchl, dass beide W\xf6rter (sowohl links, als auch rechts in der Lernphase) aufgetaucht waren\n- Einmal habe ich aus Versehen die falsche Bewertung angeklickt.\n- Zu kurze Pr\xe4sentationszeit in der Lernphase --> fast keine M\xf6glichekeit W\xf6rter genauer einzupr\xe4gen', u'Manchmal habe ich bei der Bewertung der Bilderzu fr\xfch reagiert. Im Nachhinein ist einem doch aufgefallen, dass das andere Bild das bekannte war. \n\nZeit zum Einpr\xe4gen ziemlich kurz --> deshalb viel Unsicherheit in Erinnerungsphase')";;1267;(2704, 1395);2
EM2004;normal;21;m;apprentice;Verkehrsflugzeugführer;normal;n;(None,);(None,);"(u'Alles super, w\xfcrde gerne so oder so \xfcber den erreichten Platz informiert werden. Danke !',)";anonymous;1525;(2940,);1
EO0704;normal;31;m;student;Psychologie;uncorrected;n;(u'0,5 - 1,0', None);(0, None);"(u'Manchmal hatte ich das Gef\xfchl, dass ich die richtige L\xf6sung bei einer Rechenaufgabe eingetragen habe, sie aber als falsch erkannt wurde. Daraufhin habe ich die gleiche L\xf6sung noch einmal eingetragen und sie war pl\xf6tzlich richtig?!\n\nBei den 4 Durchg\xe4ngen, den Wortlernphasen, war es beim 3. Durchgang dann so viel, dass ich beim Entscheiden teilweise nicht mehr wusste, ob die Worte der Durchg\xe4nge sich vermischen oder stete andere waren...\n\n', u'')";anonymous;3056;(3121, 1849);2
